"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"1";"2025-02-24 15:10:32";"Chest and Triceps";"2176";"Bench Press (Barbell)";"1";"55.0";"10";"";"";"";"";""
"1";"2025-02-24 15:10:32";"Chest and Triceps";"2176";"Bench Press (Barbell)";"2";"55.0";"10";"";"";"";"";""
"1";"2025-02-24 15:10:32";"Chest and Triceps";"2176";"Bench Press (Barbell)";"3";"55.0";"7";"";"";"";"";""
"1";"2025-02-24 15:10:32";"Chest and Triceps";"2176";"Bench Press (Barbell)";"4";"40.0";"8";"";"";"";"";""
"1";"2025-02-24 15:10:32";"Chest and Triceps";"2176";"Incline Bench Press (Dumbbell)";"1";"17.5";"10";"";"";"";"";""
"1";"2025-02-24 15:10:32";"Chest and Triceps";"2176";"Incline Bench Press (Dumbbell)";"2";"17.5";"10";"";"";"";"";""
"1";"2025-02-24 15:10:32";"Chest and Triceps";"2176";"Incline Bench Press (Dumbbell)";"3";"17.5";"7";"";"";"";"";""
"1";"2025-02-24 15:10:32";"Chest and Triceps";"2176";"Incline Bench Press (Dumbbell)";"4";"12.5";"10";"";"";"";"";""
"1";"2025-02-24 15:10:32";"Chest and Triceps";"2176";"Seated Overhead Press (Dumbbell)";"1";"17.5";"7";"";"";"";"";""
"1";"2025-02-24 15:10:32";"Chest and Triceps";"2176";"Seated Overhead Press (Dumbbell)";"2";"12.5";"9";"";"";"";"";""
"1";"2025-02-24 15:10:32";"Chest and Triceps";"2176";"Seated Overhead Press (Dumbbell)";"3";"10.0";"10";"";"";"";"";""
"1";"2025-02-24 15:10:32";"Chest and Triceps";"2176";"Seated Overhead Press (Dumbbell)";"4";"10.0";"10";"";"";"";"";""
"1";"2025-02-24 15:10:32";"Chest and Triceps";"2176";"Triceps Extension";"1";"9.1";"10";"";"";"";"";""
"1";"2025-02-24 15:10:32";"Chest and Triceps";"2176";"Triceps Extension";"2";"9.1";"10";"";"";"";"";""
"1";"2025-02-24 15:10:32";"Chest and Triceps";"2176";"Triceps Extension";"3";"4.5";"10";"";"";"";"";""
"1";"2025-02-24 15:10:32";"Chest and Triceps";"2176";"Triceps Extension";"4";"4.5";"10";"";"";"";"";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Seated Row (Cable)";"1";"42.0";"10";"";"";"";"";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Seated Row (Cable)";"2";"42.0";"10";"";"";"";"";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Seated Row (Cable)";"3";"42.0";"10";"";"";"";"";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Seated Row (Cable)";"4";"42.0";"10";"";"";"";"";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Lat Pulldown (Cable)";"1";"42.0";"10";"";"";"";"";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Lat Pulldown (Cable)";"2";"42.0";"10";"";"";"";"";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Lat Pulldown (Cable)";"3";"42.0";"10";"";"";"";"";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Lat Pulldown (Cable)";"4";"42.0";"10";"";"";"";"";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Lat Pulldown (Machine)";"Note";"";"";"";"";"";"Straight Arm Pulldown";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Lat Pulldown (Machine)";"1";"9.1";"10";"";"";"";"";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Lat Pulldown (Machine)";"2";"9.1";"10";"";"";"";"";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Lat Pulldown (Machine)";"3";"9.1";"10";"";"";"";"";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Lat Pulldown (Machine)";"4";"9.1";"10";"";"";"";"";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Hammer Curl (Dumbbell)";"1";"10.0";"10";"";"";"";"";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Hammer Curl (Dumbbell)";"2";"10.0";"10";"";"";"";"";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Hammer Curl (Dumbbell)";"3";"10.0";"10";"";"";"";"";""
"2";"2025-02-25 14:50:54";"Back and Biceps";"763";"Hammer Curl (Dumbbell)";"4";"10.0";"8";"";"";"";"";""
"3";"2025-03-04 12:54:02";"Chest and Triceps";"2477";"Bench Press (Barbell)";"1";"55.0";"10";"";"";"";"";""
"3";"2025-03-04 12:54:02";"Chest and Triceps";"2477";"Bench Press (Barbell)";"2";"55.0";"6";"";"";"";"";""
"3";"2025-03-04 12:54:02";"Chest and Triceps";"2477";"Bench Press (Barbell)";"3";"50.0";"6";"";"";"";"";""
"3";"2025-03-04 12:54:02";"Chest and Triceps";"2477";"Bench Press (Barbell)";"4";"50.0";"6";"";"";"";"";""
"3";"2025-03-04 12:54:02";"Chest and Triceps";"2477";"Incline Bench Press (Dumbbell)";"1";"17.5";"10";"";"";"";"";""
"3";"2025-03-04 12:54:02";"Chest and Triceps";"2477";"Incline Bench Press (Dumbbell)";"2";"17.5";"10";"";"";"";"";""
"3";"2025-03-04 12:54:02";"Chest and Triceps";"2477";"Incline Bench Press (Dumbbell)";"3";"17.5";"10";"";"";"";"";""
"3";"2025-03-04 12:54:02";"Chest and Triceps";"2477";"Incline Bench Press (Dumbbell)";"4";"17.5";"8";"";"";"";"";""
"3";"2025-03-04 12:54:02";"Chest and Triceps";"2477";"Seated Overhead Press (Dumbbell)";"1";"17.5";"7";"";"";"";"";""
"3";"2025-03-04 12:54:02";"Chest and Triceps";"2477";"Seated Overhead Press (Dumbbell)";"2";"12.5";"10";"";"";"";"";""
"3";"2025-03-04 12:54:02";"Chest and Triceps";"2477";"Seated Overhead Press (Dumbbell)";"3";"12.5";"10";"";"";"";"";""
"3";"2025-03-04 12:54:02";"Chest and Triceps";"2477";"Seated Overhead Press (Dumbbell)";"4";"12.5";"10";"";"";"";"";""
"3";"2025-03-04 12:54:02";"Chest and Triceps";"2477";"Triceps Extension";"1";"6.8";"10";"";"";"";"";""
"3";"2025-03-04 12:54:02";"Chest and Triceps";"2477";"Triceps Extension";"2";"6.8";"10";"";"";"";"";""
"3";"2025-03-04 12:54:02";"Chest and Triceps";"2477";"Triceps Extension";"3";"6.8";"10";"";"";"";"";""
"3";"2025-03-04 12:54:02";"Chest and Triceps";"2477";"Triceps Extension";"4";"4.5";"10";"";"";"";"";""
"4";"2025-03-05 10:51:39";"Back and Biceps";"2204";"Seated Row (Cable)";"1";"48.0";"10";"";"";"";"";""
"4";"2025-03-05 10:51:39";"Back and Biceps";"2204";"Seated Row (Cable)";"2";"48.0";"10";"";"";"";"";""
"4";"2025-03-05 10:51:39";"Back and Biceps";"2204";"Seated Row (Cable)";"3";"48.0";"8";"";"";"";"";""
"4";"2025-03-05 10:51:39";"Back and Biceps";"2204";"Seated Row (Cable)";"4";"48.0";"8";"";"";"";"";""
"4";"2025-03-05 10:51:39";"Back and Biceps";"2204";"Lat Pulldown (Cable)";"1";"48.0";"9";"";"";"";"";""
"4";"2025-03-05 10:51:39";"Back and Biceps";"2204";"Lat Pulldown (Cable)";"2";"42.0";"9";"";"";"";"";""
"4";"2025-03-05 10:51:39";"Back and Biceps";"2204";"Lat Pulldown (Cable)";"3";"36.0";"10";"";"";"";"";""
"4";"2025-03-05 10:51:39";"Back and Biceps";"2204";"Lat Pulldown (Cable)";"4";"36.0";"10";"";"";"";"";""
"4";"2025-03-05 10:51:39";"Back and Biceps";"2204";"Lat Pulldown (Machine)";"1";"9.1";"8";"";"";"";"";""
"4";"2025-03-05 10:51:39";"Back and Biceps";"2204";"Lat Pulldown (Machine)";"2";"9.1";"10";"";"";"";"";""
"4";"2025-03-05 10:51:39";"Back and Biceps";"2204";"Lat Pulldown (Machine)";"3";"6.8";"10";"";"";"";"";""
"4";"2025-03-05 10:51:39";"Back and Biceps";"2204";"Lat Pulldown (Machine)";"4";"6.8";"10";"";"";"";"";""
"4";"2025-03-05 10:51:39";"Back and Biceps";"2204";"Hammer Curl (Dumbbell)";"1";"10.0";"10";"";"";"";"";""
"4";"2025-03-05 10:51:39";"Back and Biceps";"2204";"Hammer Curl (Dumbbell)";"2";"10.0";"10";"";"";"";"";""
"4";"2025-03-05 10:51:39";"Back and Biceps";"2204";"Hammer Curl (Dumbbell)";"3";"10.0";"4";"";"";"";"";""
"4";"2025-03-05 10:51:39";"Back and Biceps";"2204";"Hammer Curl (Dumbbell)";"4";"8.0";"6";"";"";"";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Squat (Barbell)";"1";"60.0";"8";"";"";"";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Squat (Barbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Squat (Barbell)";"2";"60.0";"8";"";"";"";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Squat (Barbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Squat (Barbell)";"3";"60.0";"8";"";"";"";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Squat (Barbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Squat (Barbell)";"4";"60.0";"8";"";"";"";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Squat (Barbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Leg Extension (Machine)";"1";"30.0";"10";"";"";"";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Leg Extension (Machine)";"2";"30.0";"10";"";"";"";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Leg Extension (Machine)";"3";"30.0";"10";"";"";"";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Leg Extension (Machine)";"4";"30.0";"10";"";"";"";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Seated Leg Curl (Machine)";"1";"29.0";"10";"";"";"";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Seated Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Seated Leg Curl (Machine)";"2";"29.0";"10";"";"";"";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Seated Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Seated Leg Curl (Machine)";"3";"29.0";"10";"";"";"";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Seated Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Seated Leg Curl (Machine)";"4";"29.0";"10";"";"";"";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Seated Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Hanging Knee Raise";"1";"";"10";"";"";"";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Hanging Knee Raise";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Hanging Knee Raise";"2";"";"8";"";"";"";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Hanging Knee Raise";"Rest Timer";"";"";"";"";"120.0";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Hanging Knee Raise";"3";"";"6";"";"";"";"";""
"5";"2025-03-07 12:32:12";"Legs and Abs";"753";"Hanging Knee Raise";"Rest Timer";"";"";"";"";"120.0";"";""
"6";"2025-03-10 14:36:45";"Chest and Triceps";"2756";"Bench Press (Barbell)";"1";"55.0";"10";"";"";"";"";""
"6";"2025-03-10 14:36:45";"Chest and Triceps";"2756";"Bench Press (Barbell)";"2";"55.0";"10";"";"";"";"";""
"6";"2025-03-10 14:36:45";"Chest and Triceps";"2756";"Bench Press (Barbell)";"3";"55.0";"6";"";"";"";"";""
"6";"2025-03-10 14:36:45";"Chest and Triceps";"2756";"Bench Press (Barbell)";"4";"55.0";"5";"";"";"";"";""
"6";"2025-03-10 14:36:45";"Chest and Triceps";"2756";"Incline Bench Press (Dumbbell)";"1";"17.5";"10";"";"";"";"";""
"6";"2025-03-10 14:36:45";"Chest and Triceps";"2756";"Incline Bench Press (Dumbbell)";"2";"17.5";"9";"";"";"";"";""
"6";"2025-03-10 14:36:45";"Chest and Triceps";"2756";"Incline Bench Press (Dumbbell)";"3";"17.5";"6";"";"";"";"";""
"6";"2025-03-10 14:36:45";"Chest and Triceps";"2756";"Incline Bench Press (Dumbbell)";"4";"17.5";"6";"";"";"";"";""
"6";"2025-03-10 14:36:45";"Chest and Triceps";"2756";"Seated Overhead Press (Dumbbell)";"1";"14.0";"10";"";"";"";"";""
"6";"2025-03-10 14:36:45";"Chest and Triceps";"2756";"Seated Overhead Press (Dumbbell)";"2";"14.0";"10";"";"";"";"";""
"6";"2025-03-10 14:36:45";"Chest and Triceps";"2756";"Seated Overhead Press (Dumbbell)";"3";"14.0";"10";"";"";"";"";""
"6";"2025-03-10 14:36:45";"Chest and Triceps";"2756";"Seated Overhead Press (Dumbbell)";"4";"14.0";"9";"";"";"";"";""
"6";"2025-03-10 14:36:45";"Chest and Triceps";"2756";"Triceps Extension";"1";"6.8";"10";"";"";"";"";""
"6";"2025-03-10 14:36:45";"Chest and Triceps";"2756";"Triceps Extension";"2";"6.8";"10";"";"";"";"";""
"6";"2025-03-10 14:36:45";"Chest and Triceps";"2756";"Triceps Extension";"3";"6.8";"10";"";"";"";"";""
"6";"2025-03-10 14:36:45";"Chest and Triceps";"2756";"Triceps Extension";"4";"6.8";"7";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Seated Row (Cable)";"1";"42.0";"10";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Seated Row (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Seated Row (Cable)";"2";"42.0";"10";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Seated Row (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Seated Row (Cable)";"3";"42.0";"10";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Seated Row (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Seated Row (Cable)";"4";"42.0";"10";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Seated Row (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Lat Pulldown (Cable)";"1";"36.0";"10";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Lat Pulldown (Cable)";"2";"36.0";"10";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Lat Pulldown (Cable)";"3";"30.0";"10";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Lat Pulldown (Cable)";"4";"30.0";"10";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Lat Pulldown (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Lat Pulldown (Machine)";"1";"9.1";"10";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Lat Pulldown (Machine)";"2";"9.1";"10";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Lat Pulldown (Machine)";"3";"9.1";"7";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Lat Pulldown (Machine)";"4";"6.8";"10";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Hammer Curl (Dumbbell)";"1";"10.0";"10";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Hammer Curl (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Hammer Curl (Dumbbell)";"2";"10.0";"10";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Hammer Curl (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Hammer Curl (Dumbbell)";"3";"10.0";"7";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Hammer Curl (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Hammer Curl (Dumbbell)";"4";"10.0";"7";"";"";"";"";""
"7";"2025-03-11 14:40:45";"Back and Biceps";"4028";"Hammer Curl (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Squat (Barbell)";"1";"50.0";"10";"";"";"";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Squat (Barbell)";"Rest Timer";"";"";"";"";"180.0";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Squat (Barbell)";"2";"50.0";"10";"";"";"";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Squat (Barbell)";"Rest Timer";"";"";"";"";"180.0";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Squat (Barbell)";"3";"50.0";"10";"";"";"";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Squat (Barbell)";"Rest Timer";"";"";"";"";"180.0";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Squat (Barbell)";"4";"50.0";"10";"";"";"";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Squat (Barbell)";"Rest Timer";"";"";"";"";"180.0";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Leg Extension (Machine)";"1";"29.0";"10";"";"";"";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Leg Extension (Machine)";"2";"23.0";"10";"";"";"";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Leg Extension (Machine)";"3";"23.0";"10";"";"";"";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Leg Extension (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Leg Extension (Machine)";"4";"23.0";"10";"";"";"";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Seated Leg Curl (Machine)";"1";"23.0";"10";"";"";"";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Seated Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Seated Leg Curl (Machine)";"2";"23.0";"10";"";"";"";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Seated Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Seated Leg Curl (Machine)";"3";"23.0";"10";"";"";"";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Seated Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Seated Leg Curl (Machine)";"4";"23.0";"6";"";"";"";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Seated Leg Curl (Machine)";"Rest Timer";"";"";"";"";"120.0";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Hanging Knee Raise";"1";"";"6";"";"";"";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Hanging Knee Raise";"Rest Timer";"";"";"";"";"120.0";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Hanging Knee Raise";"2";"";"6";"";"";"";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Hanging Knee Raise";"Rest Timer";"";"";"";"";"120.0";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Hanging Knee Raise";"3";"";"6";"";"";"";"";""
"8";"2025-03-12 14:33:42";"Legs and Abs";"4284";"Hanging Knee Raise";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Strict Military Press (Barbell)";"1";"30.0";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Strict Military Press (Barbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Strict Military Press (Barbell)";"2";"30.0";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Strict Military Press (Barbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Strict Military Press (Barbell)";"3";"30.0";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Strict Military Press (Barbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Strict Military Press (Barbell)";"4";"30.0";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Strict Military Press (Barbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Lateral Raise (Dumbbell)";"1";"3.0";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Lateral Raise (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Lateral Raise (Dumbbell)";"2";"3.0";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Lateral Raise (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Lateral Raise (Dumbbell)";"3";"3.0";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Lateral Raise (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Lateral Raise (Dumbbell)";"4";"3.0";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Lateral Raise (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Rear Delt Raise";"1";"3.0";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Rear Delt Raise";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Rear Delt Raise";"2";"3.0";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Rear Delt Raise";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Rear Delt Raise";"3";"3.0";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Rear Delt Raise";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Rear Delt Raise";"4";"3.0";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Rear Delt Raise";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Shrug (Dumbbell)";"1";"12.5";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Shrug (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Shrug (Dumbbell)";"2";"12.5";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Shrug (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Shrug (Dumbbell)";"3";"12.5";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Shrug (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Shrug (Dumbbell)";"4";"12.5";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Shrug (Dumbbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Face Pull (Cable)";"1";"4.5";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Face Pull (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Face Pull (Cable)";"2";"4.5";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Face Pull (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Face Pull (Cable)";"3";"4.5";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Face Pull (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Face Pull (Cable)";"4";"4.5";"10";"";"";"";"";""
"9";"2025-03-14 14:16:35";"Shoulders";"2635";"Face Pull (Cable)";"Rest Timer";"";"";"";"";"120.0";"";""
"10";"2025-03-17 14:26:14";"Chest and Triceps";"2864";"Bench Press (Barbell)";"1";"55.0";"10";"";"";"";"";""
"10";"2025-03-17 14:26:14";"Chest and Triceps";"2864";"Bench Press (Barbell)";"Rest Timer";"";"";"";"";"120.0";"";""
"10";"2025-03-17 14:26:14";"Chest and Triceps";"2864";"Bench Press (Barbell)";"2";"55.0";"8";"";"";"";"";""
